[0]USA USA
 AK Alaska NCWA,MQCA,EZSC,WPDE,UDRI,FTME,SHND
 AL Alabama XGA,CFL,ZMS,XTN
 AR Arkansas CLA,XMO,QMS,XOK,ZTN,TTX,B
 AZ Arizona XCA,XNM,PNV,XUT
 CA California COR,XNV
 CO Colorado DKS,XNE,XNM,POK,XUT,XWY,B
 CT Connecticut HMA
 DE Delaware DMD
 FL Florida QGA
 GA Georgia XNC,DSC,XTN
 HI Hawaii NQCA,MCWA,ETME,WDRI,UPDE,FZSC,SRTX
 IA Iowa RIL,PMN,XMO,XNE,CSD,XWI,B
 ID Idaho XMT,XNV,DOR,HUT,QWA,TWY
 IL Illinois DIN,XKY,QMO,HWI
 IN Indiana XKY,ZMI,XOH,B
 KS Kansas XMO,XNE,ZOK,B
 KY Kentucky TOH,XTN,ZVA,XWV,B
 LA Louisiana XMS,XTX
 MA Massachusetts XNH,ZNY,RRI,TVT
 MD Maryland QPA,XVA,XWV
 ME Maine DNH
 MI Michigan POH,RWI
 MN Minnesota XND,XSD,TWI
 MO Missouri RNE,HOK,PTN,B
 MS Mississippi DTN
 MT Montana XND,QSD,CWY
 NC North_Carolina XSC,XTN,CVA
 ND North_Dakota DSD
 NE Nebraska ZSD,XWY,B
 NH New_Hampshire QVT,XMA
 NJ New_Jersey XNY,ZPA
 NM New_Mexico QOK,CTX
 NV Nevada ZOR,XUT,B
 NY New_York CPA,XVT
 OH Ohio XPA,HWV
 OK Oklahoma XTX,B
 OR Oregon XWA
 PA Pennsylvania RWV
 RI Rhode_Island Y
 SC South_Carolina Y
 SD South_Dakota XWY,B
 TN Tennessee RVA,B
 TX Texas Y
 UT Utah RWY,B
 VA Virginia XWV
 VT Vermont Y
 WA Washington Y
 WI Wisconsin Y
 WV West_Virginia B
 WY Wyoming B
